global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
10,2024-01-01,10,44179.55,44389.56842634514,44385.94807337492,44393.18877931536,1.6311728627076547,0.43263145478501114,0.3,0.2177881560546109,0.05040136042355622,0.16640130838029837,greed,17.51298224355676,106,8
11,2024-01-01,11,44179.55,44394.526427295845,44374.67738921469,44414.375465376994,8.94211051610568,0.47503613530147315,0.3,0.18659246744972935,0.05939169255529117,0.17325398470083342,greed,19.97523715840067,119,13
12,2024-01-01,12,44179.55,44421.38945294178,44409.33053820064,44433.448367682926,5.429328028525274,0.48972661226375686,0.3,0.19770255230466463,0.043919657248382905,0.15135681866731612,greed,21.971032723251593,132,13
13,2024-01-01,13,44179.55,44454.07024223861,44451.667236940404,44456.47324753681,1.0811182351164592,0.48816205962743364,0.3,0.19635966269799757,0.04777354579378964,0.15814047095321687,greed,23.486341662997653,139,7
14,2024-01-01,14,44179.55,44468.8173759184,44451.667236940404,44485.96751489639,7.713332618231001,0.5495789578761551,0.3,0.18251092100900204,0.05085392166316497,0.15422772674924287,greed,25.946796525479325,152,13
15,2024-01-01,15,44179.55,44503.04438133718,44494.042734183015,44512.04602849134,4.045407355519652,0.5705197999988879,0.3,0.20040227343248013,0.04149101287359542,0.1796066080980155,greed,27.71385626579025,163,11
16,2024-01-01,16,44179.55,44519.98092696148,44494.042734183015,44545.919119739934,11.652382700259203,0.5888182066017225,0.3,0.042055125265351906,0.054226839054973,0.17370526621593615,greed,29.678951412540872,173,10
17,2024-01-01,17,44179.55,44530.33614685941,44494.042734183015,44566.62955953581,16.30053389074056,0.5940800116079911,0.3,0.06508313851563408,0.05852601757026698,0.1695323107650583,greed,31.342848715007595,181,8
18,2024-01-01,18,44179.55,44604.360329758856,44595.133494275564,44613.58716524214,4.137189913754998,0.52097347547206,0.3,0.05564812100148463,0.053376825053272146,0.1699776706985249,greed,31.758668550891596,185,4
19,2024-01-01,19,44179.55,44610.41448205016,44595.133494275564,44625.69546982476,6.850861150705209,0.5183042086575963,0.3,0.06284355249119733,0.045494435859801285,0.16683730277543102,greed,33.372683349202426,192,7
