timestamp,spread_mean,spread_median,spread_std,spread_min,spread_max,n_observations
2025-12-28,3.795940871203004,2.925294447267548,3.584923402379781,0.03393678594801065,50.66087555356952,1440
2025-12-29,9.59501030328838,7.369788631509598,8.189551112123123,0.03406824209493638,97.90253840428541,1440
2025-12-30,7.691855972100249,5.935184089921478,6.737696188894258,0.03364743211283424,73.51861982467598,1440
2025-12-31,6.049513872401767,4.768165075423479,5.343947877518112,0.03352335488399504,79.54662408244175,1440
2026-01-01,3.378290960085962,2.681931506832451,3.0981084224823654,0.03342463830284237,45.199436257952776,1440
2026-01-02,9.254865419473676,6.572147578083902,8.293987638507451,0.09994852650799953,93.37140585534661,1440
2026-01-03,4.407933912529889,3.6302670125527694,3.4453584762076512,0.03194668736736464,31.122248841830604,1440
2026-01-04,5.736619417363209,4.749944986462066,4.795679545286377,0.031775840511394905,83.41190631027135,1440
2026-01-05,9.791097755683781,8.011202804418609,7.535883857156875,0.03164842398685809,79.57093243065064,1440
2026-01-06,9.463112142785281,7.285514531249529,7.701103609143144,0.21759639909095593,68.55605901995045,1440
2026-01-07,9.290565921151506,7.410671546667549,7.623210601115085,0.030713709832896775,108.9705678801068,1440
2026-01-08,9.467627890634361,7.652523824070963,6.7844600844544765,0.06412455553661611,71.24442192960072,1440
2026-01-09,8.908923697093844,6.446203180440445,8.244227387009428,0.032073126729642076,82.90621635951646,1440
2026-01-10,2.3061446928621767,1.8423319594414291,2.1147795542623276,0.0,22.06841207744059,1440
