quintile,vol_mean,extreme_mean,extreme_n,neutral_mean,neutral_n,moderate_mean,moderate_n,gap_extreme_neutral,gap_pvalue
Q1 (low),0.2271441541679617,0.2437770527901224,17,0.1678115883970923,25,0.22143560570860962,101,0.07596546439303012,0.0007094917747487394
Q2,0.2946364251864966,0.37369413546180985,11,0.2828789239887381,44,0.2615829502496611,88,0.09081521147307176,0.0010476489503788897
Q3,0.3574664989711134,0.36862275882547335,53,0.29284516306008446,15,0.35272497441776535,75,0.0757775957653889,0.00042012933748698285
Q4,0.41923518661306086,0.444433538646526,30,0.4217310924142818,15,0.40751002421559024,98,0.02270244623224421,0.15957535882605386
Q5 (high),0.5677521546579524,0.6528335551065405,59,0.543287425216555,11,0.6128086698141344,73,0.10954612988998547,0.0013883759113245513
