parameter,estimate,std_error,t_statistic,p_value,heuristic,difference,boot_se,ci_lower,ci_upper
w_aleatoric,0.010069020739056574,0.5080617108964146,0.019818499452145255,0.9841881603527012,0.35,-0.3399309792609434,0.37621107304910284,0.006048265231791467,0.9801980198019802
w_epistemic,0.3221681004829758,15.94247615385574,0.0202081594712035,0.9838773188989178,0.3,0.022168100482975794,0.2778261602401498,0.005025125628140704,0.9801980198019802
w_volatility,0.6677628787779676,33.042359534323126,0.02020929764668656,0.9838764109516909,0.35,0.3177628787779676,0.37270458212673274,0.009085370275896579,0.9801980198019802
