lag,unc_to_spread_F,unc_to_spread_p,spread_to_unc_F,spread_to_unc_p,adf_spread_stat,adf_spread_p,adf_vol_stat,adf_vol_p
1,211.2952895368409,2.9461802929146855e-46,4.210789651243647,0.040257479777782004,-10.296754111661265,3.455138658280368e-18,-5.2449430863229365,7.112678439033386e-06
2,133.81565479698486,2.6360805310742826e-56,5.359569299624935,0.004749808656118088,-10.296754111661265,3.455138658280368e-18,-5.2449430863229365,7.112678439033386e-06
3,96.1803061188968,2.483014160392325e-59,4.613518147740771,0.0031757246583216437,-10.296754111661265,3.455138658280368e-18,-5.2449430863229365,7.112678439033386e-06
4,66.65259996411689,5.233626910666083e-54,3.21699549987166,0.012064775003052464,-10.296754111661265,3.455138658280368e-18,-5.2449430863229365,7.112678439033386e-06
5,51.78187405839154,1.4381009799442407e-51,1.911804680583656,0.08909818818656089,-10.296754111661265,3.455138658280368e-18,-5.2449430863229365,7.112678439033386e-06
