gamma1,delta1,extreme_greed_gap,extreme_fear_gap,fear_gap,greed_gap,ranking_preserved,extreme_greed_mean,neutral_mean
0.2,0.25,0.24946173047172976,0.116836305779625,0.15163492672006884,0.023082997643742442,True,0.5400471771218479,0.29058544665011815
0.2,0.3,0.24588538121193315,0.11679606399631742,0.14945488752705116,0.022381747416489794,True,0.5289350528338445,0.2830496716219113
0.2,0.35,0.24300003973981782,0.11676359756816557,0.14769606671915042,0.021815989931400714,True,0.519969968407694,0.27696992866787623
0.2,0.39999999999999997,0.24062307870655236,0.11673685153642127,0.14624713994036898,0.02134991563505445,True,0.5125844798799631,0.2719614011734108
0.2,0.44999999999999996,0.2386310159995172,0.11671443645613461,0.14503283606208034,0.020959312166396182,True,0.506394914269324,0.26776389826980684
0.25,0.25,0.2527938739342623,0.11632737402269677,0.15366816440580855,0.02386014762790023,True,0.5515269223221813,0.298733048387919
0.25,0.3,0.2500822964582926,0.1167521655322507,0.15201354922959892,0.023225320551674755,True,0.5421631862289058,0.2920808897706132
0.25,0.35,0.24722003071925341,0.11681108173434118,0.15026845131054622,0.022643445366640202,True,0.5330819607919078,0.2858619300726544
0.25,0.39999999999999997,0.2446602289273383,0.1167822783425197,0.14870807008730702,0.022141519671495857,True,0.5251283652121427,0.2804681362848044
0.25,0.44999999999999996,0.24248860263187405,0.11675784277751777,0.14738430943285435,0.02171570739126888,True,0.5183808750904236,0.2758922724585496
0.3,0.25,0.25552721203781187,0.11589917352707468,0.15533605800203626,0.024500069242528566,True,0.5609658031515692,0.3054385911137573
0.3,0.3,0.25279387393426234,0.11632737402269677,0.15366816440580855,0.02386014762790023,True,0.5515269223221813,0.2987330483879189
0.3,0.35,0.2504980562666199,0.11668703324738827,0.1522672474899705,0.02332265709686715,True,0.5435989059005246,0.2931008496339047
0.3,0.39999999999999997,0.24817810051080663,0.11682186212354384,0.15085246297817378,0.02283130360146174,True,0.5360587927025939,0.2878806921917873
0.3,0.44999999999999996,0.24588538121193326,0.11679606399631742,0.14945488752705116,0.022381747416489683,True,0.5289350528338447,0.2830496716219114
0.35,0.25,0.25782180610766076,0.11553970598931018,0.1567362282737173,0.02503727330820471,True,0.5688895941926405,0.31106778808497976
0.35,0.3,0.25510527162552843,0.11596527405573887,0.15507858831296878,0.02440128571130179,True,0.5595087403522492,0.30440346872672075
0.35,0.35,0.2527938739342623,0.11632737402269677,0.15366816440580855,0.023860147627900286,True,0.5515269223221811,0.29873304838791886
0.35,0.39999999999999997,0.2508032707755398,0.11663921881717898,0.15245349057648883,0.023394113079975243,True,0.5446528857844453,0.29384961500890544
0.35,0.44999999999999996,0.2488992668129425,0.11682997682821927,0.15129206512246463,0.022972709822309534,True,0.5382995385021552,0.2894002716892127
0.39999999999999997,0.25,0.2597754457942956,0.11523365183486889,0.15792834684786788,0.025494654069498024,True,0.5756359868770152,0.3158605410827196
0.39999999999999997,0.3,0.2570989906421908,0.11565294113579844,0.1562951634509842,0.024868049735335684,True,0.5663935367047833,0.30929454606259255
0.39999999999999997,0.35,0.2547961793885326,0.11601369596479683,0.15488997902161933,0.024328921885139743,True,0.5584413697307721,0.30364519034223947
0.39999999999999997,0.39999999999999997,0.2527938739342623,0.11632737402269672,0.15366816440580855,0.02386014762790023,True,0.5515269223221811,0.29873304838791886
0.39999999999999997,0.44999999999999996,0.25103685533901365,0.11660262582280362,0.152596024790273,0.023448799256857777,True,0.5454595100565583,0.2944226547175447
