uncertainty_proxy,cs_pearson_r,cs_p_value,ar_pearson_r,ar_p_value,direction_agreement,magnitude_agreement
realized_vol,0.24305912476329183,3.843098384919892e-11,0.39851251288369116,8.067084440352934e-29,True,False
volume_dispersion,0.130090736182961,0.0004618574722225134,0.19852595674006965,7.656206996394345e-08,True,True
total_uncertainty,0.23505074188939873,1.9155005198367242e-10,0.3679967780302456,2.210364354174754e-24,True,False
