vol_quintile,mean_vol,neutral_mean,neutral_n,directional_mean,directional_n,gap,t_stat,p_value,cohens_d,significant_005
0,0.010912416975677117,0.22550200530045408,38,0.26706549037627453,105,-0.041563485075820444,-2.1628969408636523,0.9838824127711053,-0.4094655769625798,False
1,0.01620018239408597,0.30625082363114214,18,0.29776387674007615,125,0.008486946891065994,0.30585545690013305,0.3800829067766787,0.07710685559297059,False
2,0.020771701517170726,0.2930115514606427,26,0.36663073078923947,117,-0.07361917932859674,-2.23266469589364,0.9864262887453594,-0.48407418061533836,False
3,0.02572813821711381,0.378484480458414,20,0.4269376292744693,123,-0.048453148816055336,-1.5300232780962881,0.9358743019225848,-0.36889137698097413,False
4,0.03901808348533281,0.5083983626258219,8,0.5591128642981958,135,-0.0507145016723739,-0.9742401367855875,0.8341971231261944,-0.3545048316414873,False
