regime,coefficient,std_error,p_value,significant,p_bonferroni,sig_bonferroni,p_bh_fdr,sig_bh_fdr,p_holm,sig_holm
extreme_greed,0.0552294986357724,0.0124851934490596,9.70697815425374e-06,True,3.882791261701496e-05,True,3.882791261701496e-05,True,3.882791261701496e-05,True
extreme_fear,0.039469647043909,0.0122983461404828,0.0013303732795549,True,0.0053214931182196,True,0.0019778781583012,True,0.0039911198386647,True
fear,0.0344633036748258,0.0108446448140077,0.0014834086187259,True,0.0059336344749036,True,0.0019778781583012,True,0.0039911198386647,True
greed,0.0027953562668081,0.0081028655914979,0.7301066513678907,False,1.0,False,0.7301066513678907,False,0.7301066513678907,False
