date,open,high,low,close,volume,trades,quote_volume,fear_greed_value,fear_greed_class,cs_spread,parkinson_vol,realized_vol,returns,log_volume,regime,is_extreme,macro_sentiment,uncertainty,volatility
2018-02-21,882.99,908.88,812.87,835.89,176200.55151,324214,151739402.984687,54,Neutral,0.0,0.09457017437521356,1.2981262782652374,-0.05481685003145472,12.07937812250202,neutral,False,0.08,0.09457017437521356,1.2981262782652374
2018-02-22,836.35,871.96,786.6,801.49,137561.85113,265430,112939926.7169096,44,Fear,179.14301622279908,0.08728958546904894,1.237081865066777,-0.04202453011465303,11.831828921347197,fear,False,-0.12,0.08728958546904894,1.237081865066777
2018-02-23,801.47,885.0,785.99,851.6,154507.41338,283445,130147658.0064479,39,Fear,928.5028306419761,0.08611301381003772,1.2432570528826072,0.060644437653913426,11.947997357210859,fear,False,-0.22,0.08611301381003772,1.2432570528826072
2018-02-24,851.59,875.0,805.0,833.94,89311.5794,180745,75082869.2722153,31,Fear,636.4010146277358,0.08205386454597888,1.0968550650073539,-0.020955475694602658,11.399886426991388,fear,False,-0.38,0.08205386454597888,1.0968550650073539
2018-02-25,833.92,849.5,813.18,841.19,59431.26474,134040,49520472.1940726,33,Fear,259.644884278178,0.07124385037494646,0.904239248629408,0.00865609865379997,10.992575709305392,fear,False,-0.34,0.07124385037494646,0.904239248629408
2018-02-26,841.46,882.0,833.0,867.98,74911.4656,135463,64498089.203572,37,Fear,0.0,0.05563338916415942,0.8276131337614936,0.03135111694171518,11.224062236561647,fear,False,-0.26,0.05563338916415942,0.8276131337614936
2018-02-27,867.98,897.49,860.69,870.11,63487.68425,113151,55793476.980172,44,Fear,0.0,0.05086676754815956,0.8153159600206135,0.002450967517545435,11.05860121725138,fear,False,-0.12,0.05086676754815956,0.8153159600206135
2018-02-28,871.84,891.0,850.3,853.5,53620.45209,102553,46744924.419776,41,Fear,211.19363016061754,0.05086712470675634,0.8129755030859659,-0.01927409820328708,10.8896858431233,fear,False,-0.18,0.05086712470675634,0.8129755030859659
2018-03-01,853.5,879.96,848.65,870.63,43785.00503,89476,37976139.7517369,38,Fear,252.31210334132166,0.04844696660840014,0.7039793540031891,0.019871545283801844,10.687046686835844,fear,False,-0.24,0.04844696660840014,0.7039793540031891
2018-03-02,870.63,876.22,850.0,856.28,39436.26006,77178,34068626.3832595,47,Neutral,266.8108008668714,0.04536824151244108,0.6981328816617423,-0.016619662059275366,10.582440978155388,neutral,False,-0.06,0.04536824151244108,0.6981328816617423
