date,spread_mean,spread_median,spread_std,n_obs
2025-10-12,9.260182124525995,8.504503094607923,3.760116575330274,51
2025-10-13,13.606771605971451,12.453102379479759,6.109223973360247,27
2025-10-14,7.01527951476921,6.556440553032441,3.1631090592967204,81
2025-10-15,8.224806768241885,7.225068289426969,4.603334587668389,72
2025-10-16,7.467098709113994,6.7773174933043645,3.256143982928244,87
2025-10-17,7.508077872436113,7.340149064913851,3.11879624037568,71
2025-10-18,5.126443844756312,4.587273232585682,3.0552847516302624,121
2025-10-19,3.265440583253428,2.681735285938733,2.3528756123396053,200
2025-10-20,11.018889870720905,10.328300133942662,5.554735936910144,33
2025-10-21,5.032459043004156,4.46616614940878,2.969697198566438,110
2025-10-22,10.372424248762782,9.261763239914176,5.54650466438156,45
2025-10-23,7.439027850318691,6.454152082729891,5.235861035285592,83
2025-10-24,6.245398409738138,5.132128563428543,3.5493644762938636,90
2025-10-25,2.6624613997766406,2.1995086219155215,2.0977909376380115,259
2025-10-26,3.008217448469688,2.711696417586796,2.412073902882228,242
2025-10-27,8.142693800589845,7.255019093341123,4.289487561652757,51
2025-10-28,5.428274302119543,4.921851396687004,2.4299276258993867,105
2025-10-29,5.393554925236117,4.894838333437103,2.6594519967451418,81
2025-10-30,7.136141493291974,6.693415763691603,3.5710213292295716,65
2025-10-31,7.9477000391120045,6.896416967611962,4.945320276458393,53
2025-11-01,3.410216101922694,3.0542412936887726,2.2254554098450243,179
2025-11-02,2.5999265152244377,2.2552202795865224,1.8620449847110103,289
2025-11-03,6.898162307106709,5.860448204787046,3.8191363281743564,82
2025-11-04,10.648596586655414,9.380702802762029,6.073956607830306,47
2025-11-05,13.137840247046622,12.993695031852127,4.286778104883824,36
2025-11-06,7.727540426864673,6.669955638619119,4.1120978769698,73
2025-11-07,10.722114183828861,9.586163720459933,4.544042213309412,54
2025-11-08,8.331029240275056,7.915702211437063,4.360875318102047,65
2025-11-09,4.868408434988574,4.171895543008219,2.902578469740233,156
2025-11-10,13.063247004534109,12.531881067741871,5.359697735964606,33
2025-11-11,8.023888517778786,7.558565579114277,3.7162786398958803,79
2025-11-12,8.420426375519808,7.243152534641568,3.8238269697491254,84
2025-11-13,8.04121493551296,6.0998973753895935,5.5905134861071195,79
2025-11-14,18.15987169497074,16.435491319167003,9.195958604936079,29
2025-11-15,12.862964618814598,12.111978890330752,5.831803771258156,47
2025-11-16,7.147056252132184,6.151469817450858,4.694199808184122,103
2025-11-17,15.173070009635804,13.178930477515813,7.057345580002247,31
2025-11-18,11.09863533033296,9.033579797774312,9.192299343865056,48
2025-11-19,12.06957527333099,9.58445890656347,7.170364068352804,46
2025-11-20,9.506840577535995,8.303366263243587,5.013738930130272,47
2025-11-21,14.816321076096948,13.683140858388514,6.4187168183116405,38
2025-11-22,12.604770384109917,11.763723716703808,5.588952106049401,48
2025-11-23,8.608774945695929,7.84763660493783,3.822740723177655,73
2025-11-24,12.706137866549897,10.84865853202454,5.796065627909671,31
2025-11-25,8.865898240789551,8.118681067063214,4.1774047225485305,70
2025-11-26,8.104152748850924,7.837368897031336,3.5500883219618817,86
2025-11-27,7.33597369474985,6.517040486974505,4.612992811496101,66
2025-11-28,5.557312903039024,4.9417036597210116,2.795894111655611,118
2025-11-29,3.81906162283598,3.2377391212853155,2.45927485070585,214
2025-11-30,3.3573402708539852,2.865221907218088,2.121122566872033,247
2025-12-02,8.79992063163643,8.50154001418851,3.6859581949996567,66
2025-12-03,9.916668679253224,9.465758749922568,4.0870567249691,45
2025-12-04,8.508214828494442,7.499556795786525,4.273599609451058,62
2025-12-05,5.6987916455592655,5.479540572349031,2.4907916489947266,143
2025-12-06,4.582731245671885,4.119153703432874,2.518913379489259,172
2025-12-07,3.828146755891963,3.5615678729738516,2.072463816468761,229
2025-12-08,9.166742674458122,8.394491056472727,4.195558354019957,80
2025-12-09,7.231204990704218,6.535381460136329,3.6039014519258505,101
2025-12-10,7.538424199508285,6.830325056333919,3.735843577223686,91
2025-12-11,9.77280424777358,7.164981326896159,6.160282949860887,54
2025-12-12,8.293974803102167,6.653561678001717,7.041582615985711,62
2025-12-13,1.999735002852618,1.6498926047248585,1.8024207804842023,405
2025-12-14,2.358958225390768,1.811493065639577,2.2877935318047045,330
2025-12-15,10.543647410299991,9.970750671608315,5.048282435807537,61
2025-12-16,7.627433361709492,7.0287919431212895,3.431986855959191,90
2025-12-17,6.175915485462772,5.366229657824377,3.4471939175024993,117
2025-12-18,6.354875720317513,5.666386797446053,3.4986787426215353,112
2025-12-19,6.929351282560509,5.564887464168079,4.336902724530031,101
2025-12-20,3.2238636001214105,2.667247445244092,2.4615732849359167,220
2025-12-21,3.1140256845407093,2.525083540404529,2.448724296077886,201
2025-12-22,16.06997589115689,12.570964797230896,11.99213266768547,19
2025-12-23,5.287060590645025,4.651202718891332,3.0960981223915796,116
2025-12-24,5.749343104260104,4.960921148299069,3.5125694313319875,125
2025-12-25,3.1784908469182476,2.8680140126468867,2.0151694511949128,255
2025-12-26,7.4744458116236,6.1705075583100415,5.05866315402778,65
