date,open,high,low,close,volume,trades,quote_volume,fear_greed_value,fear_greed_class,cs_spread,parkinson_vol,realized_vol,returns,log_volume,regime,is_extreme,macro_sentiment,uncertainty,volatility
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754,542340,731537130.4921861,54,Neutral,0.0,0.07937598615394317,1.2328509466322017,-0.07058749628237194,11.128935390113357,neutral,False,0.08,0.07937598615394317,1.2328509466322017
2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.166483,506273,682006373.869588,44,Fear,101.78022081538968,0.07870700602812299,1.246659459348307,-0.0619063887400933,11.113345502614811,fear,False,-0.12,0.07870700602812299,1.246659459348307
2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237,467480,571800753.4709765,39,Fear,392.974855864977,0.077280937549813,1.2453883907143555,0.03209569611200183,10.954356420482686,fear,False,-0.22,0.077280937549813,1.2453883907143555
2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.156299,337918,405618586.64803785,31,Fear,695.2120254649492,0.07557835138227141,1.1758286366910846,-0.0440442324402057,10.6185957230538,fear,False,-0.38,0.07557835138227141,1.1758286366910846
2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.517586,233567,271286599.1260862,33,Fear,152.19211526276365,0.06912304428931619,0.9862895138446188,-0.010838857005757338,10.253211509753758,fear,False,-0.34,0.06912304428931619,0.9862895138446188
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756,285276,347559259.73845184,37,Fear,170.86408213042463,0.06051149274597235,0.9634480304594607,0.07375039296102064,10.459619930609415,fear,False,-0.26,0.06051149274597235,0.9634480304594607
2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.385123,240542,324295371.1414657,44,Fear,0.0,0.056847351026762,0.9603054532746137,0.0234576908169124,10.332193329365186,fear,False,-0.12,0.056847351026762,0.9603054532746137
2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.983782,277886,327914696.13067526,41,Fear,268.4719256526896,0.05752905666041864,0.9699676598360146,-0.023190388304420374,10.33530190942559,fear,False,-0.18,0.05752905666041864,0.9699676598360146
2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393,230428,268172535.3811293,38,Fear,647.0911742333512,0.05638104610015022,0.9174162407610996,0.05585738594789953,10.130326424933429,fear,False,-0.24,0.05638104610015022,0.9174162407610996
2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009,211691,262936307.00785756,47,Neutral,0.0,0.05465850928385306,0.9110823600382579,0.010838486719455614,10.08208175846391,neutral,False,-0.06,0.05465850928385306,0.9110823600382579
2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328,190444,241749497.90247172,56,Greed,0.0,0.05331703961557016,0.8765205506771988,0.0378191028154963,9.965859037345641,greed,False,0.12,0.05331703961557016,0.8765205506771988
2018-03-04,11464.47,11565.0,11050.02,11515.0,17295.918653,168359,194849579.12502074,44,Fear,402.1608730412084,0.051595426837257506,0.8226671664037559,0.004396973420937615,9.75822583664175,fear,False,-0.12,0.051595426837257506,0.8226671664037559
2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.231063,164318,174866951.39806527,55,Greed,0.0,0.050865412023720705,0.8005555618162883,-0.005311519300982928,9.625374950498593,neutral,False,0.1,0.050865412023720705,0.8005555618162883
