instrument,coefficient,p_value
iv_vix_jump,0.08812999407301546,8.794151265380375e-26
iv_monday,0.004591652282020158,0.2965767052721453
iv_uncertainty_lag1,0.9688414259670194,0.0
iv_direction_change,-0.0027863238072774786,0.364922079855847
