date,open,high,low,close,volume,trades,returns,volatility,fear_greed_value,fear_greed_class,macro_sentiment,sentiment_momentum,price_sentiment_corr,regime,cs_spread,ar_spread,realized_vol,parkinson_vol,total_uncertainty
2022-01-01,46216.93,47954.63,46208.37,47722.65,19604.46325,714899,,,21,Extreme Fear,-0.58,,,extreme_fear,,,,,
2022-01-02,47722.66,47990.0,46654.0,47286.18,18340.4604,709624,-0.009188052743592882,,29,Fear,-0.42,0.1599999999999999,,fear,212.08995762969124,,,,
2022-01-03,47286.18,47570.0,45696.0,46446.1,27662.0771,885624,-0.01792557472959721,,29,Fear,-0.42,0.0,,fear,3.271335848772295,126.51532462239285,,,
2022-01-04,46446.1,47557.54,45500.0,45832.01,35491.4136,1021815,-0.013309745191831738,,23,Extreme Fear,-0.54,-0.12,,extreme_fear,368.65353864118293,235.98319450354944,,,
2022-01-05,45832.01,47070.0,42500.0,43451.13,51784.11857,1478532,-0.0533458970167032,,24,Extreme Fear,-0.52,0.02,,extreme_fear,0.0,617.8537569330645,,,
2022-01-06,43451.14,43816.0,42430.58,43082.31,38880.37305,1150707,-0.00852438625717462,,15,Extreme Fear,-0.7,-0.1799999999999999,,extreme_fear,79.66615328822535,586.371051514039,,,
2022-01-07,43082.3,43145.83,40610.0,41566.48,54836.50818,1406635,-0.03581839879060997,,18,Extreme Fear,-0.64,0.0599999999999999,,extreme_fear,0.0,237.47830744738937,,,
2022-01-08,41566.48,42300.0,40501.0,41679.74,32952.73111,1021908,0.0027210861918856148,0.0185381943253418,10,Extreme Fear,-0.8,-0.16,-0.3168883083783274,extreme_fear,272.5700150946154,240.81301481824045,,,
2022-01-09,41679.74,42786.7,41200.02,41864.62,22724.39426,752733,0.00442591939892638,0.0203628791411001,23,Extreme Fear,-0.54,0.26,-0.3525398710215881,extreme_fear,64.96346025710614,29.882542318446824,,,
2022-01-10,41864.62,42248.5,39650.0,41822.49,50729.17019,1250983,-0.0010068457032168852,0.0212332632675822,23,Extreme Fear,-0.54,0.0,-0.310354131825418,extreme_fear,0.0,0.0,,,
2022-01-11,41822.49,43100.0,41268.93,42729.29,37296.43729,1015526,0.02145040043967803,0.0253325522480431,21,Extreme Fear,-0.58,-0.0399999999999999,-0.1896970597763405,extreme_fear,0.0,223.80502804101314,,,
2022-01-12,42729.29,44322.0,42450.0,43902.66,33943.2928,1023902,0.027090276943410884,0.0205872312247532,22,Extreme Fear,-0.56,0.0199999999999999,0.3081600629399799,extreme_fear,0.0,337.89043815898685,,,
2022-01-13,43902.65,44500.0,42311.22,42560.11,34910.87762,1036234,-0.03105748088409937,0.0238388719948226,21,Extreme Fear,-0.58,-0.0199999999999999,0.1463084479456476,extreme_fear,384.8287073992396,438.48673481563753,,,
2022-01-14,42558.35,43448.78,41725.95,43059.96,32640.88292,946938,0.011676133382902501,0.0188656294131826,21,Extreme Fear,-0.58,0.0,0.0689423106771933,extreme_fear,7.087434575509517,384.60590564064785,,,
2022-01-15,43059.96,43800.0,42555.0,43084.29,21936.05616,752688,0.0005648665034966843,0.0189305731588472,23,Extreme Fear,-0.54,0.0399999999999999,0.0101061153951214,extreme_fear,28.332641737331283,158.76901870643323,,,
2022-01-16,43084.29,43475.0,42581.79,43071.66,20602.35271,732171,-0.0002931892710942959,0.019034005695553,21,Extreme Fear,-0.58,-0.0399999999999999,0.0502130274586926,extreme_fear,161.6307723329857,0.0,,,
2022-01-17,43071.66,43176.18,41540.42,42201.62,27562.08613,918029,-0.020406631301085873,0.0211751633145071,22,Extreme Fear,-0.56,0.0199999999999999,0.0246075218622652,extreme_fear,0.0,123.47813795521577,,,
2022-01-18,42201.63,42691.0,41250.0,42352.12,29324.08257,905061,0.0035598699462948903,0.0193208328155494,24,Extreme Fear,-0.52,0.04,0.2004068085391551,extreme_fear,145.8373908981725,146.98146732974016,,,
2022-01-19,42352.12,42559.13,41138.56,41660.01,31685.72159,924528,-0.016476803005825883,0.0151757609063478,24,Extreme Fear,-0.52,0.0,0.0705676616901297,extreme_fear,271.43030707752126,147.23898368156895,,,
2022-01-20,41660.0,43505.0,40553.31,40680.91,42330.33953,1098761,-0.023782735226194826,0.0135160265084705,24,Extreme Fear,-0.52,0.0,-0.4617798103738352,extreme_fear,187.6272525296287,418.7186598978346,,0.45807378234432955,0.45807378234432955
2022-01-21,40680.92,41100.0,35440.45,36445.31,88860.891999,2092561,-0.109946159879111,0.0374368464711354,19,Extreme Fear,-0.62,-0.0999999999999999,0.7239762618838789,extreme_fear,0.0,1167.319875693975,0.4724317988185879,0.55075271835327,0.55075271835327
2022-01-22,36445.31,36835.22,34008.0,35071.42,90471.338961,2099978,-0.038426226985850784,0.036212472504898,13,Extreme Fear,-0.74,-0.12,0.4381324851701758,extreme_fear,0.0,1155.453838157539,0.48024439829183013,0.5733131200499715,0.5733131200499715
2022-01-23,35071.42,36499.0,34601.01,36244.55,44279.52354,1142407,0.032902471390134344,0.042305896716583,11,Extreme Fear,-0.78,-0.04,-0.1354455849178682,extreme_fear,391.2929108939427,444.18142786583223,0.5090809281615004,0.578192698572016,0.578192698572016
2022-01-24,36244.55,37550.0,32917.17,36660.35,91904.753211,1999352,0.011406764386201865,0.0443671956658868,13,Extreme Fear,-0.74,0.04,-0.2470965174507839,extreme_fear,251.46339697173866,457.74747630139603,0.5160081932870636,0.635779631435078,0.635779631435078
2022-01-25,36660.35,37545.14,35701.0,36958.32,49232.40183,1248246,0.008095001638556682,0.0447858326742279,12,Extreme Fear,-0.76,-0.02,-0.4445078794510702,extreme_fear,224.592802130176,318.5769135939514,0.4950573072669763,0.6069105680869948,0.6069105680869948
2022-01-26,36958.32,38919.98,36234.63,36809.34,69830.16036,1584468,-0.004039173875103207,0.0451193496739248,23,Extreme Fear,-0.54,0.2199999999999999,-0.4048536932326427,extreme_fear,27.1072414668026,177.85824347753734,0.49526135095848783,0.6219941612779714,0.6219941612779714
2022-01-27,36807.24,37234.47,35507.01,37160.1,53020.87934,1308408,0.009483987687842301,0.0459976221102037,20,Extreme Fear,-0.6,-0.0599999999999999,-0.3352882177145677,extreme_fear,0.0,238.05977661014094,0.4873959068940444,0.6168136227680544,0.6168136227680544
2022-01-28,37160.11,38000.0,36155.01,37716.56,42154.26956,1061101,0.014863650295472364,0.0219301462344729,24,Extreme Fear,-0.52,0.0799999999999999,-0.0162002711992419,extreme_fear,22.856772107835596,298.20014606634305,0.4920301618092805,0.6189770615861224,0.6189770615861224
2022-01-29,37716.57,38720.74,37268.44,38166.84,26129.49682,816601,0.011867820497437117,0.011158034346446,24,Extreme Fear,-0.52,0.0,-0.4840328713863726,extreme_fear,0.0,243.86957185128207,0.494622479292804,0.6190998210610031,0.6190998210610031
2022-01-30,38166.83,38359.26,37351.63,37881.76,21430.66527,698593,-0.007497346048860223,0.0086009432699312,29,Fear,-0.42,0.1,-0.4642943732610869,fear,201.69766583507297,98.81351561814486,0.4945295559200682,0.6067891028221926,0.6067891028221926
