regime,coefficient,p_value
extreme_greed,0.007150391690080108,0.0014491408218574456
extreme_fear,0.011531905390275928,0.00036025681908397733
fear,0.005314893606807718,0.02973732908584083
greed,0.0022343148918443478,0.2152280124241096
