transition_type,n_events,before_mean,day_mean,after_mean,change,t_stat,p_value,significant
enter_extreme,48,0.43157116170004234,0.4626177810662571,0.4655326130358285,0.03396145133578615,2.1837659499866127,0.029465887671016083,True
exit_extreme,48,0.44917917752555986,0.46982555963095557,0.47015469773518764,0.020975520209627785,1.3077946391289212,0.19157422493509685,False
enter_neutral,44,0.35076097466634665,0.33998998346169307,0.3354074907768005,-0.01535348388954616,-1.0097463329751932,0.31317431981109706,False
exit_neutral,45,0.3427887476372407,0.33699410422170717,0.335612936336584,-0.007175811300656698,-0.48997109494845603,0.6243942027839876,False
