quintile,n_neutral,n_extreme,vol_range,gap,gap_bps,ci_lower,ci_upper,t_stat,p_value,cohens_d,p_adj_holm,sig_holm
1,25,17,"[0.132, 0.270]",0.04270120475101824,4.270120475101824,0.011951001761489959,0.07573060088512602,2.5891094313363388,0.013354021079115475,0.8139178758865493,0.05072894600540036,False
2,44,11,"[0.271, 0.328]",0.06385500735053692,6.385500735053692,0.010654646886118092,0.11656865168242468,2.2454495532231946,0.028934001700038316,0.7569408899756132,0.05786800340007663,False
3,15,53,"[0.328, 0.388]",0.05943043627620943,5.943043627620943,0.01646916610194081,0.09789332058631357,2.9222756178921148,0.004754065290313944,0.8546574182264978,0.02377032645156972,True
4,15,30,"[0.388, 0.460]",0.02129636363269704,2.1296363632697037,-0.018226392776754318,0.06018549260898107,0.8992982451051219,0.37350247041150386,0.2843830750324555,0.37350247041150386,False
5,11,59,"[0.463, 0.736]",0.0930036220233303,9.30036220233303,0.0337049771449413,0.14624328431504088,2.560359001660086,0.01268223650135009,0.8408674397200782,0.05072894600540036,False
