regime,n,uncertainty_mean,uncertainty_std,uncertainty_median,volatility_mean,volatility_std,cs_spread_mean
extreme_greed,94,0.5213273038435914,0.15323055998341165,0.5013019737089093,0.4702571809814487,0.11466092704922252,128.99511574287246
greed,295,0.32374839334208516,0.11982426612977191,0.307257036048453,0.340540666981312,0.10771460348223827,79.28803581732014
neutral,110,0.3030615261357216,0.13480472055461334,0.2715109885543032,0.32455094541480595,0.10600324032772525,69.31139465836735
fear,140,0.4357422008108335,0.1997758975865533,0.39523717455053997,0.4123282393836871,0.13092523918436574,111.68364394749624
extreme_fear,76,0.4031219862453439,0.1637299664620396,0.3633697368984862,0.37870122001609974,0.10410185580784947,116.19503049104988
