cycle,n_days,n_extreme,n_neutral,extreme_mean,neutral_mean,gap,t_stat,p_value,cohens_d,note,p_adj_holm,sig_holm
2018 Bear,311,134,26,166.35787726433009,116.81131340312683,49.54656386120325,1.429506205486988,0.16030047456369395,0.28271145766981587,,0.3477958686234957,False
2019 Recovery,365,80,36,132.355965088434,127.21463188567161,5.141333202762397,0.18299051043869616,0.8552794718575493,0.03563457677145227,,0.8552794718575493,False
2020 COVID+Bull,366,129,67,153.44574702022922,105.6941491868139,47.75159783341532,2.2338633550843094,0.026662360595242827,0.3108590830012512,,0.13331180297621414,False
2021 Bull Peak,365,156,32,193.6008156321713,130.99718902354564,62.60362660862566,1.7914441777346675,0.0780110691544837,0.30086869315038633,,0.3120442766179348,False
2022 Bear,365,207,23,138.65087198903552,98.23637249247744,40.41449949655808,1.6062468671902543,0.11593195620783191,0.2660863198078494,,0.3477958686234957,False
2023 Recovery,365,3,153,,,,,,,Insufficient data,,False
2024-25 Bull,759,179,120,122.01224852825108,67.75962878874574,54.252619739505334,4.2876603135664695,2.452433300765287e-05,0.48162842150523777,,0.00014714599804591723,True
