date,spread_mean,spread_median,spread_std,n_obs,n_trades,seq_spread_mean,seq_spread_median
2025-11-28,0.44329257823360585,0.29544228144018164,0.48348295908561595,4187405,4229754,0.006078934082802696,0.0010951387567429856
2025-11-29,0.3904390361158098,0.23939218324712364,0.43991061493258954,1661024,1677860,0.002833272248839617,0.0011027087151658519
2025-11-30,0.34108310680467924,0.15769070719927378,0.42753869936989725,2132438,2154030,0.00406386989878901,0.0010958683128758074
2025-12-01,0.521610136904961,0.38559979874559097,0.5299461236122102,7632539,7709685,0.012747471714467546,0.0011614130720945205
2025-12-02,0.47661730318205525,0.30637667643526445,0.5275034329786548,6333277,6397299,0.011616540186241395,0.0011328204838993612
2025-12-03,0.5003536728556661,0.3400704277370491,0.5337716583032013,6665798,6733182,0.013700915605204119,0.0010763767918647038
2025-12-04,0.39865068171485696,0.2146265151776151,0.4724648025108032,5797439,5856049,0.006844937552152894,0.001076281794549355
2025-12-05,0.45978084021726007,0.2849492127352813,0.5200553307997094,5465099,5520352,0.010070035970036703,0.0011041665181724526
2025-12-06,0.28035716350256457,0.07597426662455146,0.39540924668985733,2457350,2482221,0.005886836141906313,0.0011160554843369771
2025-12-07,0.47247972112478476,0.2810572980312564,0.5433954340991874,3913490,3953071,0.011839182997622202,0.0011178984933368006
2025-12-08,0.42522617207524555,0.2785194301820372,0.46487321343122645,5404095,5458731,0.005417739039416635,0.001096801989655098
2025-12-09,0.39891699250495166,0.21694386964682433,0.47535102190701,5880750,5940223,0.00721939579324507,0.0011032657891194852
2025-12-10,0.44190646676100825,0.2556635433088658,0.5184690450561592,5965393,6025707,0.013861630694203687,0.0010822088005827165
2025-12-11,0.4301332046430992,0.2644580897313933,0.4861041661397175,6187885,6250438,0.007959698956735642,0.0011079615451766124
2025-12-12,0.4049946402714395,0.22421624213461883,0.4810528981068317,4907101,4956719,0.005904962062524309,0.0010847018747919281
2025-12-13,0.21893582546238688,0.008860983683971483,0.3403937436687755,1350067,1363754,0.001619989110182105,0.0011075475148695241
2025-12-14,0.34329931069952613,0.158434184838814,0.4471234277577358,3084543,3115749,0.007279350850183541,0.0011190660537423987
2025-12-15,0.4021891271793547,0.24406292586387407,0.4611234131561597,6679646,6747167,0.004850162256777514,0.001134183168626646
2025-12-16,0.43356166545192526,0.2549153302178468,0.5023927438183032,6038642,6099692,0.00608128983184347,0.001147068390828375
2025-12-17,0.5371588139713945,0.36103737996626023,0.5831065826284934,5998003,6058638,0.011222763138834047,0.0011511664607782306
2025-12-18,0.51854148949625,0.33506465163248417,0.5756383203858637,6877429,6946947,0.021119240790153718,0.0011531129968072866
2025-12-19,0.45964717743727146,0.27075808132402884,0.5298775002351648,6417381,6482253,0.01213359856438738,0.0011372558663425517
2025-12-20,0.25397724234483016,0.03859274944355584,0.38163427819726253,1162633,1174426,0.0030729656116176268,0.0011334749507491788
2025-12-21,0.3872440370828426,0.18958377059860265,0.48272666095003647,2010308,2030666,0.0037163186906624527,0.0011327519591241143
2025-12-22,0.43887135234592833,0.2771518077611802,0.4890565865601636,4799210,4847747,0.0079251269449157,0.0011210326229194123
2025-12-23,0.3899049156765837,0.20399202129348168,0.4744790454065649,4420380,4465080,0.005212077468876423,0.0011403867404169853
2025-12-24,0.36353771862823514,0.17156468594855484,0.4541010923586183,2848418,2877239,0.0034951458346322377,0.001146357136023095
2025-12-25,0.318593705027516,0.1089371467831429,0.4315924001432257,1972199,1992172,0.002076285203402669,0.0011397405072225042
2025-12-26,0.36793342210626234,0.1729754598376422,0.4625359843552337,4464338,4509482,0.003959158794854437,0.0011278175995612818
2025-12-27,0.18305243809517466,0.002286523847943701,0.3196563278753073,947912,957536,0.0017069084076584626,0.0011426089023129158
2025-12-28,0.2173178637432835,0.0022860884192158785,0.3461707834873506,1228963,1241426,0.0019583517356420335,0.001138744258281923
2025-12-29,0.3699027566208139,0.19443869770306432,0.4471014828255755,4745604,4793589,0.005390748798834728,0.0011373457596805822
2025-12-30,0.3362806785217996,0.14360488142730865,0.4300648096361243,3506703,3542176,0.0038929357124539853,0.0011363716436767195
2025-12-31,0.28282869887752765,0.0978422930121865,0.3832708884231176,2868373,2897396,0.001963599980976974,0.001131400771995626
2026-01-01,0.191984914879718,0.004527747448930715,0.31061207019512393,1434739,1449281,0.0018150258098653515,0.0011369693303388568
2026-01-02,0.335357825897806,0.1654109405681143,0.41389907822349853,4960060,5010211,0.004375804075549372,0.001117311818685466
2026-01-03,0.22202895874943732,0.020116580054223003,0.3362770029317179,1667315,1684214,0.0031990242891320212,0.0011102968928076423
2026-01-04,0.29129520322179464,0.10702749055815246,0.38653326992553827,2184918,2207037,0.0028305573872618372,0.0010952152776793824
2026-01-05,0.30971971553276995,0.12932181309194293,0.39215381458820114,5430585,5485489,0.004486492874539839,0.0010749652834330125
2026-01-06,0.31560063199232713,0.11027255916982522,0.41379221430546703,4968450,5018686,0.004787876197506323,0.0010686034885588162
2026-01-07,0.34059991668670303,0.14667269750136913,0.4286048810075073,4296800,4340252,0.0036238613776137735,0.0010878841805118849
2026-01-08,0.333981568631347,0.11997651126704952,0.436305951095546,4874186,4923472,0.005064426949164563,0.0011043862571898373
2026-01-09,0.37180680151831513,0.16842742593547755,0.4750285816778134,4114059,4155703,0.011530989114902307,0.0011025391139269445
2026-01-10,0.17358179293544215,0.002209145796169255,0.3047870374154746,758641,766357,0.0013679901229856062,0.0011033766867664999
2026-01-11,0.2507306614714906,0.03295173394642141,0.38008485443355117,1269160,1282029,0.003432819337801792,0.001101992613047441
2026-01-12,0.3920288299498226,0.20344718281601246,0.47178097326340296,4058465,4099509,0.007956707875842343,0.001093889282298291
2026-01-13,0.3773135595682378,0.16435472550539051,0.49485699168325786,4974770,5025071,0.05616640444943098,0.0010796934717104357
2026-01-14,0.35162268299241173,0.13345655137363363,0.4704149027404763,5292701,5346212,0.006696391024282842,0.0010463085720203722
2026-01-15,0.38503497203996234,0.1554292848045803,0.5019753047873942,4448114,4493095,0.00502562281313195,0.0010366514343848599
