regime,n,gap,t_stat,p_value,cohens_d,power,p_adj_holm,sig_holm
extreme_greed,96,0.0027799893575678938,1.3859933982296495,0.16721888626654025,0.19123372338578723,0.28127359476234737,0.5016566587996207,False
greed,311,0.0010763861114860421,0.685977465271561,0.4931013538259492,0.07463019863220212,0.105151763146089,0.9862027076518984,False
fear,140,0.0008631063801851915,0.4063355997412766,0.6848381676415672,0.051016638972910214,0.06897442311127573,0.9862027076518984,False
extreme_fear,76,0.004910327614853078,2.0941770039256715,0.037570629656570126,0.30904961713850115,0.5492185302003566,0.1502825186262805,False
