test,observed,p_value,passes
standard_permutation,0.042,0.0001,Yes
block_shuffle,0.041529125956892746,0.0321,Yes
synthetic_ar1,0.041529125956892746,0.0393,Yes
time_reversed_k1,0.03095404181749113,1.8232616875684832e-05,No
time_reversed_k3,0.021493503649117014,0.0030678459153086414,No
time_reversed_k5,0.019047423064164508,0.008838159357956694,No
time_reversed_k7,0.024770299207091832,0.000660846821074524,No
