quintile,n_extreme,n_neutral,vol_range,gap,gap_bps,ci_lower,ci_upper,t_stat,p_value,cohens_d,p_adj_holm,sig_holm
1,58,173,"[0.094, 0.308]",11.77675038461605,11.77675038461605,-10.729025861809564,34.28252663104166,1.0397549654065372,0.30127317345824156,0.162424193895613,0.5399984009388199,False
2,134,103,"[0.308, 0.404]",21.347656835762052,21.347656835762052,-4.949968747237971,47.64528241876208,1.5992795781784712,0.11110219954191572,0.20586723566265513,0.5399984009388199,False
3,159,65,"[0.405, 0.499]",24.370926001214784,24.370926001214784,-8.086995026358927,56.828847028788495,1.4848810265404189,0.1398957393895896,0.21220748638521866,0.5399984009388199,False
4,236,74,"[0.499, 0.627]",23.716946536562773,23.716946536562773,-11.49768016095603,58.931573234081576,1.330127043553673,0.18537615626971388,0.1642896792270434,0.5399984009388199,False
5,301,42,"[0.627, 2.112]",49.34507924237178,49.34507924237178,-11.109773229554165,109.79993171429773,1.628551933391136,0.10799968018776399,0.22823235563848948,0.5399984009388199,False
