normalization,n_obs,greed_gap,fear_gap,premium_preserved,p_value
full,715,0.2504980562666199,0.11668703324738827,True,1.6641752015177464e-21
expanding,685,0.35268105661702753,0.17259512072602698,True,3.35045103852248e-21
rolling,686,0.33037213433782625,0.26620302942444424,True,6.394572759264641e-21
