spec,cohens_d,welch_t,welch_p,block_perm_p
raw extreme-vs-neutral,0.9541149313600003,19.839623226386514,5.462991899262437e-77,0.0001999600079984003
resid: vol+vol^2,0.3202483302337108,6.573262054603088,7.054874922179918e-11,0.03199360127974405
resid: vol+vol^2+mom+mom^2,0.2538199370873317,5.244651277951357,1.819098573858032e-07,0.09958008398320337
resid: vol+vol^2+mom+mom^2+logvol,0.2549437629419429,5.269147160563909,1.5966141418026021e-07,0.08978204359128174
demean within vol-quintile x mom-tercile,0.2716648408319911,5.997001073630554,2.6136926380409804e-09,0.08258348330333934
