date,regime,raw_uncertainty,uncertainty_full,uncertainty_expanding,uncertainty_rolling
2024-01-25,neutral,0.17340323620780362,0.44716619333246416,,
2024-01-26,neutral,0.17356388327113406,0.44802248833066594,,
2024-01-27,neutral,0.17804721474837237,0.47191993307475794,,
2024-01-28,neutral,0.1742459371776912,0.45165803159290135,,
2024-01-29,neutral,0.1810450891909437,0.4878994650823275,,
2024-01-30,greed,0.17776905413621658,0.4704372571020523,,
2024-01-31,greed,0.16955416907371051,0.4266495597486473,,
2024-02-01,greed,0.13491863027897405,0.24203218788326722,,
2024-02-02,greed,0.13104302337265344,0.22137408968913833,,
2024-02-03,greed,0.13149876998326435,0.2238033500504735,,
2024-02-04,greed,0.1306459935988968,0.2192578069363955,,
2024-02-05,greed,0.1274208499404032,0.20206686471811328,,
2024-02-06,greed,0.12876466211257093,0.20922976964581183,,
2024-02-07,greed,0.12731703825436388,0.20151351860852695,,
2024-02-08,greed,0.12739833038897075,0.20194682903956684,,
2024-02-09,greed,0.1377042583011184,0.25688038549585934,,
2024-02-10,greed,0.1331440743515635,0.23257329499615975,,
2024-02-11,greed,0.12370139059267733,0.1822410778693282,,
2024-02-12,greed,0.1288286942383043,0.20957107927110466,,
2024-02-13,extreme_greed,0.13543616811861411,0.24479081324669755,,
2024-02-14,greed,0.14491333278646334,0.29530682352396964,,
2024-02-15,greed,0.1460058991489913,0.30113051610845126,,
2024-02-16,greed,0.14253189533822488,0.28261307778606887,,
2024-02-17,extreme_greed,0.14625216549421305,0.3024431864758208,,
2024-02-18,greed,0.1476090206073992,0.3096756140261206,,
2024-02-19,greed,0.14889946507058535,0.3165540537334845,,
2024-02-20,greed,0.1501094084777773,0.32300339968607483,,
2024-02-21,extreme_greed,0.1525069911370639,0.33578320403705464,,
2024-02-22,greed,0.15285633514063746,0.33764530793556485,,
2024-02-23,extreme_greed,0.1488859684491623,0.3164821128639934,,0.439186492537235
2024-02-24,greed,0.14826672216998799,0.31318135229906896,0.42838763766195787,0.42838763766195787
2024-02-25,greed,0.15156560760147822,0.3307653593519424,0.48591593653575893,0.48591593653575893
2024-02-26,greed,0.15531923907284056,0.3507732934366695,0.5513744186901665,0.5513744186901665
2024-02-27,extreme_greed,0.15951574651222675,0.37314188366026757,0.624556085411487,0.624556085411487
2024-02-28,extreme_greed,0.1965763786196986,0.5706856995627635,1.2708456170147429,1.0
2024-02-29,extreme_greed,0.19511189894575875,0.562879602185288,0.9799042207266391,0.9799042207266391
2024-03-01,extreme_greed,0.1869344022401652,0.519291195515145,0.8676915545295423,0.8676915545295423
2024-03-02,extreme_greed,0.18647206257252666,0.5168267922658007,0.8613472698832504,0.8613472698832504
2024-03-03,extreme_greed,0.18825274098879963,0.5263183197774121,0.8857819691467715,0.8857819691467715
2024-03-04,extreme_greed,0.2043144304988685,0.6119317390644621,1.1061825475196059,1.0
2024-03-05,extreme_greed,0.23414503179346807,0.7709374136927981,1.3700468476230798,1.0
2024-03-06,greed,0.2388413480089169,0.7959701282777577,1.0425222870632338,1.0
2024-03-07,extreme_greed,0.2387588946747704,0.7955306283195824,0.9992838860114528,0.9992838860114528
2024-03-08,extreme_greed,0.2352961024594788,0.7770729510219454,0.969209250819663,0.969209250819663
2024-03-09,extreme_greed,0.2369727193765645,0.7860098008481256,0.9837708066401556,0.9837708066401556
2024-03-10,extreme_greed,0.23667889164324457,0.7844436146187683,0.9812188886100167,0.9812188886100167
2024-03-11,extreme_greed,0.239548180406416,0.7997377480150728,1.0061388975066567,1.0
2024-03-12,extreme_greed,0.2411304508256984,0.8081717039041216,1.013658301812475,1.0
2024-03-13,extreme_greed,0.24118210120335082,0.8084470152551173,1.0004398432342891,1.0
2024-03-14,extreme_greed,0.24005746236809833,0.8024523671772417,0.9904270341113317,0.9904270341113317
