regime,gap_vs_neutral,ci_lower,ci_upper,excludes_zero
extreme_greed,0.04597498580032679,0.0219105618592406,0.0684978722524643,True
extreme_fear,0.036030299308434856,0.012446639048710288,0.05976311292186521,True
fear,0.028888140123749136,0.007568800452547556,0.049729347457980216,True
greed,0.0017797711554574033,-0.014270480337726963,0.017515687143344703,False
