timestamp,spread_mean,spread_median,spread_std,spread_min,spread_max,n_observations
2025-12-28,2.0979888763606755,1.55039469965396,2.270444959831266,0.011370335816190433,21.877334558343776,1440
2025-12-29,6.719176948987545,5.2998722408529915,5.310964443468564,0.011158478854495195,50.857133368567155,1440
2025-12-30,5.4714711796571525,4.1112196690922405,4.72612108213495,0.011295803778990908,45.86234978557618,1440
2025-12-31,4.166030263621063,3.4216711719651185,3.5394841699262787,0.011259682623981295,27.27451160585026,1440
2026-01-01,2.233110352840392,1.7128752884617051,2.321998944499197,0.011301344126021374,31.065477992457144,1440
2026-01-02,6.431645371908908,4.649438255257802,5.784966987322392,0.01115372453437593,54.09541336431467,1440
2026-01-03,2.7852220090584563,2.252780906951331,2.4703171278653535,0.011037521503114045,33.216050048779074,1440
2026-01-04,3.9741448973290177,3.1946479992848276,3.728392460475646,0.01092274831703067,75.22752380451301,1440
2026-01-05,6.750314368434788,5.506879684133278,5.183137442814258,0.010791112654497045,60.02598367145108,1440
2026-01-06,6.317573137509842,4.804571542271468,5.558947677619452,0.010658702484790913,70.06752444528132,1440
2026-01-07,6.300344461627097,5.153148973172385,4.701655593798588,0.010775287310194205,37.79776120952868,1440
2026-01-08,6.612144760191573,5.479496929884516,4.575719266009157,0.010957757298367213,41.60482103521929,1440
2026-01-09,6.265759454266378,4.590820335611163,5.748417905440821,0.010956316618466628,49.588571371885536,1440
2026-01-10,1.399778357363534,0.9945713284588907,1.485455237431674,0.011016279307386776,10.830703940497438,1440
