transition_type,n,mean_uncertainty_change,mean_vol_change,t_stat,p_value,significant
enter_extreme,48,0.010936503583090956,0.006908124705163113,1.5557451505495763,0.1264774426856729,False
exit_extreme,48,-0.00296907145911836,0.003646523511110021,-0.7377899347369311,0.464309955439166,False
enter_neutral,44,-0.008201685443209823,0.0006244027510920502,-0.8579374341777963,0.3956839556268297,False
exit_neutral,45,-0.0016967708862185907,-0.007954011830163475,-0.18885822270609084,0.8510723723619643,False
