lag_k,coefficient,std_error,p_value,ci_lower,ci_upper,includes_zero,n_obs
1,0.03095404181749113,0.007173891851172597,1.8232616875684832e-05,0.016945626239457647,0.04559620654600428,False,714
3,0.021493503649117014,0.007234260220028232,0.0030678459153086414,0.0063613233242970045,0.03585718205723702,False,712
5,0.019047423064164508,0.007254688158531293,0.008838159357956694,0.0033056434531572813,0.03492888770183192,False,710
7,0.024770299207091832,0.007241552702827134,0.000660846821074524,0.00909689481635209,0.03978810235100359,False,708
