vol_quintile,mean_vol,neutral_mean,neutral_n,extreme_mean,extreme_n,gap,t_stat,p_value,cohens_d,p_adj_holm,sig_holm
1,0.2271441541679617,0.1678115883970923,25,0.2437770527901224,17,0.07596546439303012,3.428659419869453,0.0014189835494974774,1.0778405726629305,0.00567593419798991,True
2,0.2946364251864966,0.2828789239887381,44,0.37369413546180985,11,0.09081521147307176,3.235341672197872,0.0020952979007577825,1.0906334552087007,0.006285893702273348,True
3,0.3574664989711134,0.29284516306008446,15,0.36862275882547335,53,0.0757775957653889,3.4994801533285145,0.000840258674973965,1.0234683733001102,0.004201293374869825,True
4,0.41923518661306086,0.4217310924142818,15,0.444433538646526,30,0.02270244623224421,1.0078789070818737,0.31915071765210745,0.3187192952019931,0.31915071765210745,False
5,0.5677521546579524,0.543287425216555,11,0.6528335551065405,59,0.10954612988998547,3.104622566536125,0.0027767518226491043,1.019613275766314,0.006285893702273348,True
