proxy,pearson_r,pearson_p,spearman_r,spearman_p
realized_vol,0.24305912476329183,3.843098384919892e-11,0.16270108970420438,1.1470885478669385e-05
range_vol,0.25994243063286554,1.3416065586721545e-12,0.18428324982531588,6.27944766658294e-07
volume_dispersion,0.13009073618296096,0.00046185747222252387,0.04921593872982545,0.18682632641448216
momentum_unc,0.07806242149378605,0.03676663941260218,0.04145227282915479,0.2679804346848983
flow_imbalance,-0.11466830071274489,0.001794841526017844,-0.11501449001482093,0.0017378361108075172
intensity_unc,0.08455606654894608,0.02317238765576885,0.005528973793181128,0.8821814077000214
aleatoric_proxy,0.24607838188471565,2.1609305330185772e-11,0.16588443893864882,7.66087328676958e-06
epistemic_proxy,0.1493877967632923,5.997742823229194e-05,0.06999862459268333,0.061198347097379285
total_uncertainty,0.23505074188939876,1.9155005198367242e-10,0.1470513698878208,7.833390524193147e-05
