regime,coefficient,std_error,p_value,significant
extreme_greed,0.05522949863577244,0.01248519344905966,9.706978154253741e-06,True
extreme_fear,0.03946964704390905,0.012298346140482808,0.0013303732795549722,True
fear,0.0344633036748258,0.010844644814007716,0.0014834086187259,True
greed,0.002795356266808184,0.008102865591497942,0.7301066513678907,False
