parameter,estimate,std_error,t_stat
sigma_fund,0.0307470475234542,9.795193334577432e-05,313.89934300649145
sigma_noise,0.019011700869831036,0.0003239198031586238,58.69261676638211
spread_sensitivity,0.17917833882306927,0.00016524684209050895,1084.3071889079113
vol_persistence,0.8479876506238243,0.00018816505682845206,4506.6159727888535
chartist_fraction,0.4727051238036714,0.00010639138022114608,4443.077275819735
