extreme_low,extreme_high,threshold_label,n_extreme_fear,n_extreme_greed,n_neutral,n_total,r_squared,extreme_fear_coef,extreme_fear_se,extreme_fear_pval,extreme_fear_sig,extreme_greed_coef,extreme_greed_se,extreme_greed_pval,extreme_greed_sig,premium_preserved
15,85,15/85,14,9,116,739,0.021354219547466524,0.014239775161570692,0.005074961629836295,0.005017809242380354,True,0.012174957876900224,0.008828326756442913,0.1678704731778884,False,True
20,80,20/80,35,35,116,739,0.028215784584780135,0.015186989857195365,0.004611685895398733,0.0009907034725736457,True,0.008143656755548335,0.0032772206160099344,0.012957769652370431,True,True
25,75,25/75,76,96,116,739,0.029439970540349636,0.011531905390275928,0.0032323926504154972,0.00036025681908397733,True,0.007150391690080108,0.0022452464169220093,0.0014491408218574456,True,True
30,70,30/70,137,254,116,739,0.017264254965251635,0.008279711337404272,0.002479718968428525,0.0008408914544919776,True,0.003486001288382181,0.0017910855380905606,0.051617942415634575,False,True
