date,open,high,low,close,volume,parkinson_vol,returns,realized_vol,beta,gamma,cs_spread,parkinson_norm,realized_norm,cs_norm,regime,fear_greed_value,is_extreme,sentiment_uncertainty,total_uncertainty,vol_uncertainty,volatility
2024-01-01,2282.870361328125,2352.327880859375,2267.01806640625,2352.327880859375,6906765990,0.022184781729381504,,,0.0013645698541447432,,,-0.4870937811578019,,,greed,65.0,0,0.0,,0.011092390864690752,0.011092390864690752
2024-01-02,2352.593505859375,2431.21240234375,2348.892333984375,2355.83642578125,12910543630,0.020687047837726954,0.0014904091458289848,,0.0011865402905293296,0.004889466905981756,0.0,-0.5636073265177723,,-0.1448678288176486,greed,71.0,0,0.0,,0.010343523918863477,0.010343523918863477
2024-01-03,2355.9814453125,2385.11767578125,2113.92529296875,2210.761962890625,19332933581,0.07248888770439557,-0.06355859889814774,,0.014568952388947435,0.019556209048927912,0.0,2.0827522480724374,,-0.1448678288176486,greed,70.0,0,0.0,,0.036244443852197786,0.036244443852197786
2024-01-04,2210.529052734375,2294.608154296875,2204.86572265625,2269.0380859375,11044564896,0.02395967738442814,0.026018755301935443,,0.0015916493065981504,0.014568952388947435,0.0,-0.3964210922587059,,-0.1448678288176486,greed,68.0,0,0.0,,0.01197983869221407,0.01197983869221407
2024-01-05,2269.409423828125,2276.7646484375,2209.537109375,2268.647216796875,10860953290,0.018000248961444223,-0.00017227688370381207,,0.0008983435958144702,0.0015916493065981504,0.0,-0.7008656932003047,,-0.1448678288176486,greed,72.0,0,0.0,,0.009000124480722111,0.009000124480722111
2024-01-06,2269.5400390625,2271.359375,2219.781982421875,2241.624755859375,5970741680,0.01379459714543125,-0.011982773739482165,0.5263646969092054,0.0005275984321329228,0.0008983435958144702,0.0,-0.9157164973289802,0.06711965234099035,-0.1448678288176486,greed,70.0,0,0.0,1.0,0.27007964702731835,0.27007964702731835
2024-01-07,2242.0126953125,2257.1279296875,2211.5625,2222.865966796875,6490053615,0.01224778408819636,-0.008403601048354675,0.5177998959815834,0.00041591108534938466,0.0007117805974503718,0.0,-0.9947373111581929,0.036102008688859266,-0.1448678288176486,greed,71.0,0,0.0,1.0,0.2650238400348899,0.2650238400348899
2024-01-08,2222.857666015625,2358.815673828125,2171.99365234375,2333.03271484375,13830287095,0.04955481554835801,0.04837167626578345,0.40870766756386534,0.006808589963735199,0.006808589963735199,0.0,0.9111374639125358,-0.35897826169603103,-0.1448678288176486,greed,71.0,0,0.0,1.0,0.22913124155611167,0.22913124155611167
2024-01-09,2332.8681640625,2369.6416015625,2243.21923828125,2344.8271484375,14891130716,0.03292680499245702,0.005042672902309552,0.3858832386516945,0.0030059699556276107,0.007585232657240649,0.0,0.06167545533802202,-0.4416375095342263,-0.1448678288176486,extreme_greed,76.0,1,0.5,1.0,0.20940502182207577,0.20940502182207577
2024-01-10,2344.923583984375,2626.976806640625,2341.943115234375,2582.103515625,29042100476,0.06897607939167663,0.09639269438375238,0.7326848375453479,0.01319114405582282,0.02493925945793082,0.0,1.9032961913765563,0.8143132712691828,-0.1448678288176486,greed,73.0,0,0.0,1.0,0.40083045846851223,0.40083045846851223
