model,n_obs,r_squared,adj_r_squared,f_stat,f_pvalue,coef_const,se_const,pval_const,coef_extreme_fear,se_extreme_fear,pval_extreme_fear,coef_fear,se_fear,pval_fear,coef_greed,se_greed,pval_greed,coef_extreme_greed,se_extreme_greed,pval_extreme_greed,coef_rv,se_rv,pval_rv,coef_rv_sq,se_rv_sq,pval_rv_sq,coef_abs_returns,se_abs_returns,pval_abs_returns,coef_log_vol,se_log_vol,pval_log_vol,coef_dow_0,se_dow_0,pval_dow_0,coef_dow_1,se_dow_1,pval_dow_1,coef_dow_2,se_dow_2,pval_dow_2,coef_dow_3,se_dow_3,pval_dow_3,coef_dow_4,se_dow_4,pval_dow_4,coef_dow_5,se_dow_5,pval_dow_5,coef_month_1,se_month_1,pval_month_1,coef_month_2,se_month_2,pval_month_2,coef_month_3,se_month_3,pval_month_3,coef_month_4,se_month_4,pval_month_4,coef_month_5,se_month_5,pval_month_5,coef_month_6,se_month_6,pval_month_6,coef_month_7,se_month_7,pval_month_7,coef_month_8,se_month_8,pval_month_8,coef_month_9,se_month_9,pval_month_9,coef_month_10,se_month_10,pval_month_10,coef_month_11,se_month_11,pval_month_11,coef_year_2018,se_year_2018,pval_year_2018,coef_year_2019,se_year_2019,pval_year_2019,coef_year_2020,se_year_2020,pval_year_2020,coef_year_2021,se_year_2021,pval_year_2021,coef_year_2022,se_year_2022,pval_year_2022,coef_year_2023,se_year_2023,pval_year_2023,coef_year_2024,se_year_2024,pval_year_2024,coef_year_2025,se_year_2025,pval_year_2025,coef_distance_from_neutral,se_distance_from_neutral,pval_distance_from_neutral,coef_is_extreme,se_is_extreme,pval_is_extreme
M1: Regimes Only,1961,0.0476698602372958,0.045722354839007995,9.730965222924564,8.582252801376038e-08,130.98748879106859,8.165480400745,6.543099314314862e-58,88.89571139020524,17.4978352859513,3.7667393552585577e-07,27.945379631722197,12.017993006159703,0.02005618887650868,25.93603419103479,10.219852548728978,0.011154883221932364,95.97551361149328,21.458333147197862,7.725785761797042e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2: + Volatility,1961,0.21714671441363698,0.2147428660443852,38.60432008639836,1.6058764599561204e-44,-56.284006872625504,15.391590662447548,0.00025538101592323316,15.101957353604499,11.735723799708188,0.1981512933911037,-3.959287456173363,8.120332782932286,0.62584949372599,8.797227324996095,7.971458454081819,0.2697707321516133,23.882989327907215,15.391045085186517,0.1207230629578517,8531.141600714322,781.3913689390904,9.46741025942081e-28,-41355.280436222594,7832.459938731067,1.2919361232880102e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3: + Returns/Volume,1961,0.2748272319715416,0.2718552124304414,36.336711222224935,4.973505311101019e-54,-284.36640387591615,51.76704025835648,3.947283805177928e-08,9.002351618558578,11.645609507041728,0.4395073653185879,-3.309523499180757,8.101598796025623,0.6829047830980839,9.449067172150762,7.689447475836854,0.2191334329693797,15.422883612908244,14.539477716766914,0.28879938400053107,6563.213210371627,938.9487030548418,2.7496601768642053e-12,-33595.90205447194,8485.184339409432,7.515078694852129e-05,1360.2162214239822,665.7336812331622,0.041034254406523835,24.369296144083975,5.078318538766733,1.5970365894375581e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4: + Day FE,1961,0.2984186652229772,0.2933713174907685,30.450965455367655,8.201782417066632e-74,-236.90243828336875,48.22120094662203,8.977229123117282e-07,10.765202789317845,11.17549552973865,0.3354038194292954,-1.6713380771951432,7.6668837905555085,0.8274334395594418,10.203366487517755,7.468557783156003,0.1718836407272134,15.429844371983654,14.127040425721924,0.2747361561837398,6959.163616533652,924.0740115973134,5.036895257315829e-14,-35099.32727656667,8459.429967164868,3.3373218255238224e-05,1227.628322286208,651.7455003811954,0.059618998479966795,16.209842635451626,4.708259358468473,0.0005756131059658202,17.326879528013013,11.135351115730584,0.11970225855152887,52.42921283923359,10.229624805557423,2.971696762035173e-07,50.47928644670904,9.717338682604726,2.0497910359487614e-07,55.92996626855544,9.938953036390087,1.8299929324385858e-08,45.16478247608556,11.509411929029069,8.70326113403782e-05,-5.877940084067878,8.5965164853244,0.4941277594332383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5: Kitchen Sink,1961,0.31350884716153704,0.3017526416380968,16.285129118097657,2.7159821581879573e-80,-340.3434119749721,62.64953122082338,5.5570780996731996e-08,8.786617126483488,12.095129346440958,0.46755735441048185,-1.9631069722486516,8.264908172462565,0.8122509667045132,8.283651540727414,8.249392012561538,0.31530488388187017,16.621766091788476,14.685330668577283,0.2576925040022736,6506.502369090363,867.2015168148916,6.243429908778487e-14,-32920.02411535381,8255.445150439342,6.672426000384421e-05,1087.5695994364614,630.2442226536992,0.08441363832099641,33.37887985956937,6.81071778320628,9.538199071524579e-07,10.092036244239813,10.63807843971196,0.34278798064318905,44.832011641085316,10.222073328167879,1.155580614837118e-05,42.89094112185533,9.60278246853199,7.950528225942138e-06,48.89834680803318,10.098586725913384,1.2847535527395506e-06,38.26216991248777,11.521215493527382,0.0008968958882556803,-5.1321575918619455,8.608800268845933,0.5510733707729117,3.4180455590918286,15.601411913083142,0.8265833244316448,-4.547343614756972,15.714740080767061,0.7722997458700184,-2.9499697419621116,16.623984772200117,0.8591528740795974,-5.981268366383539,16.82456372942099,0.722208991994106,24.714088549078703,18.06721599740657,0.1713443538153332,10.698102119867576,19.50917621068295,0.5834429680352207,12.50839468048749,13.645317457547067,0.35931015448376646,8.858552591836467,16.038831070431524,0.5807297532256325,1.1323549011399823,14.865882448020345,0.9392827455413157,-12.936634055528629,16.611912558655096,0.43612319600015004,-2.0357215176418584,15.189943805513012,0.8933885684528379,-33.553381639053576,23.188443847776416,0.14790050611272176,-65.45164992538656,19.82124577091577,0.0009596533100017843,-75.85620539603383,21.69843933934843,0.00047241421488078406,-55.16362014252388,23.983465247200822,0.02144432252405282,-92.79973810330165,24.126696907184556,0.00011989011701622018,-71.62936945127616,21.180289680395965,0.0007198946505781493,-65.57299604738897,19.528859373719957,0.0007858010721304004,-28.36186133150628,17.421314924982198,0.10352536490946602,,,,,,
M6: Continuous,1961,0.2980689561343134,0.2941073135060309,37.9246697735355,1.8510175486163237e-74,-236.0815443212686,49.645406892794796,1.9809779581286034e-06,,,,,,,,,,,,,6858.408797092298,943.005249368297,3.5177918392909126e-13,-34797.29468156608,8521.820851897548,4.43974225223711e-05,1227.6781641133728,651.7749939935743,0.05962018488736293,15.984315913826704,4.8631936318776114,0.0010133491374907282,17.9798679807747,11.108621765348088,0.10554396115898419,52.966174411938056,10.254739703419682,2.4038329255286705e-07,51.48262353083902,9.607377027768921,8.384356561542492e-08,56.47344189353341,9.935464099868634,1.315598273156797e-08,45.53346806330693,11.446067494981946,6.947155158452979e-05,-5.362678808915673,8.60513982010989,0.5331564863858191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.557286340951844,17.048988489846984,0.11930330980755899,,,
M7: Binary Extreme,1961,0.29749028324675564,0.2935253746350134,38.28823214634332,3.6979783212065945e-75,-231.3906579194796,48.761177978049616,2.0810811186635777e-06,,,,,,,,,,,,,6960.846596887947,930.1900427050547,7.250560027224154e-14,-35264.809725651074,8493.344807581334,3.295072904818026e-05,1233.7506235449275,653.082769072465,0.0588759761713297,15.969534364973969,4.802797262879351,0.0008840312030885593,17.599318250999232,11.119582058342555,0.11348256345646184,52.670530811528565,10.270227583488097,2.9210994603833295e-07,50.8224798626855,9.640847687618834,1.3525583755871288e-07,56.3007652921507,9.933961505278956,1.448927823931127e-08,44.97688049221323,11.484771275686878,8.994851266878428e-05,-5.737804315717858,8.63462670501737,0.5063633191628619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.213274933083873,8.346402929420739,0.269653114017796
