step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,mm_2_position,mm_2_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash,noise_10_position,noise_10_cash,noise_11_position,noise_11_cash,noise_12_position,noise_12_cash,noise_13_position,noise_13_cash,noise_14_position,noise_14_cash,data_source,replay_interval_ms
11,2026-01-08T18:41:57.287155,41930.756723885555,41919.588817103664,41941.924630667454,5.326832928599774,0.011129842783230226,0.0,0.0871527240040787,0.2668401865596576,neutral,5,2.6905828692345692,35,-0.4486374753490651,118859.38654838603,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.13751726819656962,94232.2611018842,-0.03730352255958849,101557.33888250275,0.07238835129595553,96962.9977250867,0.04651455709053115,98045.6146302649,0.17917611114510018,92485.39960026651,0.0,100000.0,-0.07762371156590045,103251.51160934745,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.16208672452897105,93202.23815614356,0.0982306828859929,95878.55431925261,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
12,2026-01-08T18:41:57.287609,41933.392187989266,41923.89021566319,41942.89416031534,4.531935925183327,0.013284633719986658,0.0,0.0871527240040787,0.2668401865596576,neutral,4,3.1241331308465883,39,-0.5695901867836123,123936.01991347136,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.13751726819656962,94232.2611018842,0.12899058396574659,94582.4912021709,0.07238835129595553,96962.9977250867,-0.10978421799820492,104597.59501460168,0.17917611114510018,92485.39960026651,0.0,100000.0,0.03333366843204767,98597.74554025718,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.16208672452897105,93202.23815614356,0.0982306828859929,95878.55431925261,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
13,2026-01-08T18:41:57.288030,41937.24568299399,41931.59720567263,41942.89416031534,2.6937760119265817,0.01368745793386618,0.0,0.0871527240040787,0.2668401865596576,neutral,1,3.1816792814978614,40,-0.6271363374348854,126349.67201957127,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.13751726819656962,94232.2611018842,0.12899058396574659,94582.4912021709,0.12993450194722864,94549.34561898679,-0.10978421799820492,104597.59501460168,0.17917611114510018,92485.39960026651,0.0,100000.0,0.03333366843204767,98597.74554025718,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.16208672452897105,93202.23815614356,0.0982306828859929,95878.55431925261,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
14,2026-01-08T18:41:57.288569,41940.545391599815,41937.86386278432,41943.22692041531,1.2787286338125035,0.022030157700826503,0.0,0.0871527240040787,0.2668401865596576,neutral,7,3.989509121159408,47,-1.057678685354948,144408.94290282938,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.17253751096209138,92763.27743903275,0.13751726819656962,94232.2611018842,0.12899058396574659,94582.4912021709,0.22989413839553613,90356.7159045532,-0.024068318462703978,101002.39358969664,0.17917611114510018,92485.39960026651,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.294146387388171,87663.22974980659,-0.09041306298474905,103789.87005214547,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
15,2026-01-08T18:41:57.289144,41938.94671080171,41931.59720567263,41946.296215930786,3.5048591848323736,0.021104742642479874,0.0,0.0871527240040787,0.2668401865596576,neutral,10,5.185304686010327,57,-0.6777346335418658,128474.64209954473,-0.36303931955219343,115228.15483596626,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.17253751096209138,92763.27743903275,0.16666508845828068,93009.61799913776,0.2687618709148544,88719.60339732177,0.4004204474797325,83204.11072315522,-0.08762072566964996,103667.64579129378,0.04967697025692222,97916.03497987395,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,-0.0024241793806702716,100096.16099568682,0.294146387388171,87663.22974980659,-0.09041306298474905,103789.87005214547,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
16,2026-01-08T18:41:57.289617,41944.73879140926,41941.686954910285,41947.79062790824,1.4551701056732655,0.02610403817692553,0.0,0.0871527240040787,0.2668401865596576,neutral,3,5.501891346339347,60,-0.6777346335418658,128474.64209954473,-0.6796259798812138,128508.0611033554,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.17253751096209138,92763.27743903275,0.16666508845828068,93009.61799913776,0.2687618709148544,88719.60339732177,0.4004204474797325,83204.11072315522,0.10450215873815774,95608.71993700655,0.04967697025692222,97916.03497987395,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,-0.0024241793806702716,100096.16099568682,0.4186101633093836,82442.24933670467,-0.09041306298474905,103789.87005214547,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
17,2026-01-08T18:41:57.290086,41947.63502093709,41947.479413965935,41947.79062790824,0.07419105800542083,0.02169107671431828,0.0,0.0871527240040787,0.2668401865596576,neutral,2,5.669928676431356,62,-0.5096973034498576,121426.87300408678,-0.6796259798812138,128508.0611033554,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.17253751096209138,92763.27743903275,0.05294109212693279,97779.39425252852,0.2687618709148544,88719.60339732177,0.4004204474797325,83204.11072315522,0.10450215873815774,95608.71993700655,0.04967697025692222,97916.03497987395,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,-0.0024241793806702716,100096.16099568682,0.4186101633093836,82442.24933670467,-0.14472639674540932,106067.86289421265,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
18,2026-01-08T18:41:57.290583,41947.63502093709,41947.479413965935,41947.79062790824,0.07419105800542083,0.019381369713736624,0.0,0.0871527240040787,0.2668401865596576,neutral,3,5.830512663274618,65,-0.3936004960000547,116556.904563559,-0.7241131592746733,130374.19999017844,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.05644070351228843,97633.24587956053,0.05294109212693279,97779.39425252852,0.2687618709148544,88719.60339732177,0.4125776399855421,82694.14335729834,0.10450215873815774,95608.71993700655,0.08200695714457215,96559.86345890778,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,-0.0024241793806702716,100096.16099568682,0.4186101633093836,82442.24933670467,-0.14472639674540932,106067.86289421265,-0.010064358169616691,100417.62755389893,0.0759032931829848,96816.62066233251,sample,500
19,2026-01-08T18:41:57.291073,41947.63502093709,41947.479413965935,41947.79062790824,0.07419105800542083,0.022936889256593918,0.0,0.0871527240040787,0.2668401865596576,neutral,2,6.098227768574114,67,-0.3936004960000547,116556.904563559,-0.9918282645741696,141604.25717521014,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.05644070351228843,97633.24587956053,0.05294109212693279,97779.39425252852,0.2687618709148544,88719.60339732177,0.4125776399855421,82694.14335729834,0.10450215873815774,95608.71993700655,0.08200695714457215,96559.86345890778,0.0,100000.0,0.1622470524177526,93190.72103074905,-0.27558262596494215,111544.67957333833,0.10709846617744408,95503.66944100046,-0.0024241793806702716,100096.16099568682,0.4186101633093836,82442.24933670467,-0.14472639674540932,106067.86289421265,-0.010064358169616691,100417.62755389893,0.15304021650793484,93580.8971530165,sample,500
20,2026-01-08T18:41:57.291636,41948.065312663035,41947.479413965935,41948.65121136014,0.27934480064163303,0.02756888882611738,0.0,0.0871527240040787,0.2668401865596576,neutral,7,7.147604222388619,74,-0.2787988002166814,111741.26279299757,-1.4264030226053006,159833.84388952338,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.1445699804780038,93936.41742121377,0.05294109212693279,97779.39425252852,0.2687618709148544,88719.60339732177,0.601278687141265,74778.55133994303,0.10450215873815774,95608.71993700655,0.08200695714457215,96559.86345890778,0.0,100000.0,0.04744535663437931,98006.36280131048,-0.11783819205524929,104927.51333472718,0.10709846617744408,95503.66944100046,-0.0024241793806702716,100096.16099568682,0.4186101633093836,82442.24933670467,-0.14472639674540932,106067.86289421265,-0.010064358169616691,100417.62755389893,0.15304021650793484,93580.8971530165,sample,500
